prid,atid,value,prid,brand,title,inresultset
3,1,2,3,Camera,Camera,1
3,2,0,3,Camera,Camera,1
3,3,0,3,Camera,Camera,1
3,4,0,3,Camera,Camera,1
9,1,3,9,Camera,Camera,1
9,2,2,9,Camera,Camera,1
9,3,0,9,Camera,Camera,1
9,4,1,9,Camera,Camera,1
16,1,3,16,Camera,Camera,1
16,2,1,16,Camera,Camera,1
16,3,2,16,Camera,Camera,1
16,4,2,16,Camera,Camera,1
19,1,3,19,Camera,Camera,1
19,2,2,19,Camera,Camera,1
19,3,1,19,Camera,Camera,1
19,4,2,19,Camera,Camera,1
25,1,3,25,Camera,Camera,1
25,2,3,25,Camera,Camera,1
25,3,0,25,Camera,Camera,1
25,4,2,25,Camera,Camera,1
35,1,3,35,Camera,Camera,1
35,2,1,35,Camera,Camera,1
35,3,3,35,Camera,Camera,1
35,4,3,35,Camera,Camera,1
36,1,2,36,Camera,Camera,1
36,2,0,36,Camera,Camera,1
36,3,3,36,Camera,Camera,1
36,4,3,36,Camera,Camera,1
59,1,0,59,Camera,Camera,1
59,2,1,59,Camera,Camera,1
59,3,0,59,Camera,Camera,1
59,4,3,59,Camera,Camera,1
